the_geom,lng,objectid,year,dc_key,code,date_,race,sex,age,wound,officer_involved,the_geom_webmercator,offender_deceased,location,latino,point_x,point_y,dist,time,inside,outside,fatal,lat,offender_injured
0101000020E6100000D58FF238F1CA52C0C54A585D7F004440,-75.17097305,1821,2015.0,201539049064,0411,2015-06-17,B,F,23,multi,N,0101000020110F00000DA44F9CDEEB5FC18123E7C772905241,N,N 25TH ST / W ALLEGHENY AV,0,-75.17097305,40.00388686,39,13:34:00,0.0,1.0,0.0,40.00388686,N
0101000020E6100000E0032AD233CF52C033AF1B9D90F64340,-75.2375379,1822,2016.0,201612024760,0411,2016-04-03,A,M,44,back,N,0101000020110F00008396151A1BF35FC12667C01D71855241,N,6600 BLOCK UPLAND ST,0,-75.2375379,39.92628826,12,20:46:00,0.0,1.0,0.0,39.92628826,N
0101000020E6100000FCDF5331FCCE52C00B6DEF09C8F74340,-75.23414262,1823,2016.0,201612052471,0411,2016-07-25,B,M,24,ankle,N,0101000020110F0000822C979CBCF25FC1E78A2F0ACA865241,N,1700 BLOCK S 60TH ST,0,-75.23414262,39.9357922,12,01:15:00,0.0,1.0,0.0,39.9357922,N
0101000020E6100000BEAACCF740C852C0365CA2825C034440,-75.12896533,1824,2016.0,201635029324,0411,2016-04-10,B,M,20,multi,N,0101000020110F000070E4848A4DE75FC1E5AF50C99F935241,N,200 BLOCK W ALBANUS ST,0,-75.12896533,40.02626069,35,23:56:00,0.0,1.0,0.0,40.02626069,N
0101000020E610000002791B40A4C652C01F0CC02FC3FF4340,-75.10377505,1825,2015.0,201524054551,0111,2015-06-13,B,M,43,head,N,0101000020110F000034A9B17F90E45FC16423DF25A28F5241,N,3500 BLOCK EMERALD ST,0,-75.10377505,39.99814412,24,14:02:00,1.0,0.0,1.0,39.99814412,N
0101000020E61000001B1D04DB90C952C0C9588E0CC9024440,-75.14946628,1826,2015.0,201535073306,0300,2015-08-23,B,M,49,head,N,0101000020110F0000D591751488E95FC1F7E3B93DFC925241,N,4500 BLOCK N CARLISLE ST,0,-75.14946628,40.02176053,35,20:56:00,0.0,1.0,0.0,40.02176053,N
0101000020E610000022AFFF219AC852C0DB56CC6B19FE4340,-75.13440752,1827,2016.0,201626005973,0111,2016-02-04,B,M,28,multi,N,0101000020110F0000AC951DFFE4E75FC1DBCEB52ACA8D5241,N,100 BLOCK W DAUPHIN ST,0,-75.13440752,39.98515079,26,13:25:00,0.0,1.0,1.0,39.98515079,N
0101000020E610000072BE7DC27EC852C073F36CDA35FF4340,-75.1327368,1828,2015.0,201525080174,0111,2015-09-28,W,M,40,back,N,0101000020110F000044A62880B6E75FC179939D76058F5241,N,2800 BLOCK MUTTER ST,1,-75.1327368,39.99383097,25,23:14:00,0.0,1.0,1.0,39.99383097,N
0101000020E61000000F77796356CA52C0A0A3D9658D034440,-75.16152274,1829,2016.0,201639051144,0411,2016-06-21,W,M,54,leg,N,0101000020110F00008C11139CD7EA5FC15C333602D6935241,N,0 BLOCK W ROCKLAND ST,0,-75.16152274,40.02775262,39,15:51:00,0.0,1.0,0.0,40.02775262,N
0101000020E61000007BAFADE19ACE52C0BC4A4E5828FA4340,-75.22820322,1830,2015.0,201518065661,0411,2015-10-02,B,M,22,leg,N,0101000020110F00003CC7A55117F25FC1B9B4A6EA6B895241,N,5300 BLOCK DELANCEY ST,0,-75.22820322,39.95435623,18,23:45:00,0.0,1.0,0.0,39.95435623,N
0101000020E61000009FAEEE586CCE52C00C2210B75CFD4340,-75.225363,1831,2015.0,201519063256,0411,2015-06-28,B,M,21,leg,N,0101000020110F0000AC48A646C8F15FC10B898B01F98C5241,N,5200 BLOCK JEFFERSON ST,0,-75.225363,39.97939194,19,01:32:00,0.0,1.0,0.0,39.97939194,N
0101000020E61000003EE4D29DCCCB52C00F19E29A33FE4340,-75.1843638,1832,2015.0,201522017258,0390,2015-02-27,B,M,23,leg,N,0101000020110F0000E758014653ED5FC10BB9BB30E78D5241,N,1900 BLOCK N 31ST ST,0,-75.1843638,39.98594986,22,05:51:00,1.0,0.0,0.0,39.98594986,N
0101000020E610000016E8C9EBF7C952C0BDB198BFDF024440,-75.1557569,1833,2015.0,201535081674,0411,2015-09-18,B,M,21,multi,N,0101000020110F0000888FA62537EA5FC184EF696A15935241,N,4500 BLOCK N GRATZ ST,0,-75.15575691,40.02245326,35,02:48:00,0.0,1.0,0.0,40.02245326,N
0101000020E6100000FFE0AE249ACA52C06F8954FF3D034440,-75.16565816,1834,2015.0,201539000351,0411,2015-01-02,B,M,20,multi,N,0101000020110F0000EA23A8B24AEB5FC1D76DC8F17D935241,N,4900 BLOCK KEYSER ST,0,-75.16565816,40.02532951,39,15:29:00,0.0,1.0,0.0,40.02532951,N
0101000020E6100000A0C37C7941CE52C0615BF56FCDF84340,-75.22274625,1835,2016.0,201612034998,0300,2016-05-15,B,M,24,hand,N,0101000020110F0000EF74C0737FF15FC10A9EB797EB875241,N,5200 BLOCK WARRINGTON AVETON AVE,0,-75.22274625,39.94376946,12,01:03:00,0.0,1.0,0.0,39.94376945,N
0101000020E6100000C12ED4AB12C952C0C2674E0B9C014440,-75.1417646,1836,2016.0,201625048414,3006,2016-06-09,B,M,26,shoulder,N,0101000020110F00004FC03EBEB1E85FC1C4343070AE915241,N,3900 BLOCK N 09TH ST,0,-75.1417646,40.01257459,25,22:24:00,1.0,0.0,0.0,40.01257459,N
0101000020E6100000B4B9622D5BCB52C06901FB649CFF4340,-75.17744002,1837,2016.0,201639043116,0411,2016-05-26,B,M,26,multi,N,0101000020110F0000BB15E69592EC5FC13D4A3124778F5241,N,2700 BLOCK NEWKIRK ST,0,-75.17744002,39.99696028,39,02:13:00,0.0,1.0,0.0,39.99696028,N
0101000020E61000007534922D20CA52C04D8536080C064440,-75.15821399,1838,2015.0,201514049975,0411,2015-06-26,B,M,22,multi,N,0101000020110F00003C220F877BEA5FC11B7BCD709A965241,N,5500 BLOCK BLAKEMORE ST,0,-75.158214,40.04724219,14,12:14:00,0.0,1.0,0.0,40.04724219,N
0101000020E610000092082A3628CA52C018989151D0064440,-75.15870432,1839,2015.0,201514050610,0111,2015-06-28,B,M,34,multi,N,0101000020110F0000B5B0632C89EA5FC1B88D703874975241,N,1300 BLOCK E PRICE ST,0,-75.15870432,40.05323238,14,20:50:00,0.0,1.0,1.0,40.05323238,N
0101000020E610000092082A3628CA52C018989151D0064440,-75.15870432,1840,2015.0,201514050610,3006,2015-06-28,B,M,31,leg,N,0101000020110F0000B5B0632C89EA5FC1B88D703874975241,N,1300 BLOCK E PRICE ST,0,-75.15870432,40.05323238,14,20:50:00,0.0,1.0,0.0,40.05323238,N
0101000020E610000092082A3628CA52C018989151D0064440,-75.15870432,1841,2015.0,201514050610,3006,2015-06-28,B,M,32,multi,N,0101000020110F0000B5B0632C89EA5FC1B88D703874975241,N,1300 BLOCK E PRICE ST,0,-75.15870432,40.05323238,14,20:50:00,0.0,1.0,0.0,40.05323238,N
0101000020E61000008CFEE969F4CC52C094B74C1B48FB4340,-75.20241783,1842,2015.0,201516032292,0411,2015-07-21,B,M,21,leg,N,0101000020110F0000C517FEB649EF5FC1CF9DB0C2AA8A5241,N,N 40TH ST / LANCASTER AV,0,-75.20241783,39.96313802,16,02:42:00,0.0,1.0,0.0,39.96313802,N
